n_train,width,lr,weight_decay,x_low,x_high,time_pressure,loss_low,loss_high
11585,128,0.003,0.0003,40.0,136.0,0.11312652852035057,0.3603334676106771,0.22189200134277343
11585,128,0.003,0.001,40.0,136.0,0.11316285542491049,0.3603375773111979,0.22185165506998697
11585,128,0.003,0.003,40.0,136.0,0.11316417626723681,0.3603459248860677,0.22185838623046875
11585,128,0.003,0.01,40.0,136.0,0.11321195518232531,0.36037838338216144,0.22183237406412762
11585,128,0.003,0.03,40.0,136.0,0.11319305857527394,0.36048228759765627,0.22195940348307294
11585,181,0.003,0.0,40.0,136.0,0.09476431731686606,0.32731119181315105,0.21134094848632812
11585,181,0.003,1e-06,40.0,136.0,0.09476431731686606,0.32731119181315105,0.21134094848632812
11585,181,0.003,3e-06,40.0,136.0,0.09476431731686606,0.32731119181315105,0.21134094848632812
11585,181,0.003,1e-05,40.0,136.0,0.09476414358744742,0.32731121215820314,0.21134118143717448
11585,181,0.003,3e-05,40.0,136.0,0.09476420011185159,0.32731123860677086,0.2113411387125651
11585,181,0.003,0.0001,40.0,136.0,0.09476399895147213,0.3273112996419271,0.21134144592285156
11585,181,0.003,0.0003,40.0,136.0,0.09478023143035741,0.3273120300292969,0.21132231140136717
11585,181,0.003,0.001,40.0,136.0,0.09475528504957968,0.3273118733723958,0.2113526835123698
11585,181,0.003,0.003,40.0,136.0,0.09473937093608836,0.3273109171549479,0.21137120259602862
11585,181,0.003,0.01,40.0,136.0,0.0947599217132023,0.3273248189290365,0.2113599548339844
11585,181,0.003,0.03,40.0,136.0,0.09486610862508285,0.3273292378743489,0.2112344248453776
11585,256,0.003,0.0,40.0,136.0,0.09448322976745067,0.3198991536458333,0.2042728983561198
11585,256,0.003,1e-06,40.0,136.0,0.09448322976745067,0.3198991536458333,0.2042728983561198
11585,256,0.003,3e-06,40.0,136.0,0.09448322976745067,0.3198991536458333,0.2042728983561198
11585,256,0.003,1e-05,40.0,136.0,0.09448468527085747,0.3198990865071614,0.20427105000813803
11585,256,0.003,3e-05,40.0,136.0,0.09449079655643541,0.31989907226562503,0.20426355692545572
11585,256,0.003,0.0001,40.0,136.0,0.09448881487732527,0.3198988016764323,0.20426571146647135
11585,256,0.003,0.0003,40.0,136.0,0.09448391138526542,0.31989825439453123,0.20427116495768227
11585,256,0.003,0.001,40.0,136.0,0.09456205138655256,0.31989494832356774,0.20417223307291665
11585,256,0.003,0.003,40.0,136.0,0.09460728587221316,0.3198838663736979,0.20410579427083334
11585,256,0.003,0.01,40.0,136.0,0.09455064592553322,0.31986573079427083,0.20415697326660154
11585,256,0.003,0.03,40.0,136.0,0.09473083658230325,0.31983612263997396,0.20390685221354166
16384,32,0.003,0.0,40.0,192.0,0.20449743305987908,0.5719651306152344,0.251187201944987
16384,32,0.003,1e-06,40.0,192.0,0.20449743305987908,0.5719651306152344,0.251187201944987
16384,32,0.003,3e-06,40.0,192.0,0.20449743305987908,0.5719651306152344,0.251187201944987
16384,32,0.003,1e-05,40.0,192.0,0.20449798363918348,0.5719663167317708,0.2511875244140625
16384,32,0.003,3e-05,40.0,192.0,0.20449617820598748,0.5719666890462239,0.2511907287597656
16384,32,0.003,0.0001,40.0,192.0,0.20449736626403892,0.5719692321777344,0.2511914082845052
16384,32,0.003,0.0003,40.0,192.0,0.20450652507618944,0.5719771504720051,0.2511849599202474
16384,32,0.003,0.001,40.0,192.0,0.2045439398257624,0.5720014831542969,0.25115060323079424
16384,32,0.003,0.003,40.0,192.0,0.20455520497664167,0.5720868326822917,0.2512182820638021
16384,32,0.003,0.01,40.0,192.0,0.20465949662935362,0.5724002461751302,0.25136810201009113
16384,32,0.003,0.03,40.0,192.0,0.20499757696537363,0.5731835815429688,0.2516211191813151
16384,45,0.003,0.0,40.0,192.0,0.16128056918028888,0.4837343973795573,0.23074712931315103
16384,45,0.003,1e-06,40.0,192.0,0.16128056918028888,0.4837343973795573,0.23074712931315103
16384,45,0.003,3e-06,40.0,192.0,0.16128056918028888,0.4837343973795573,0.23074712931315103
16384,45,0.003,1e-05,40.0,192.0,0.16128086295228522,0.4837352701822917,0.23074754130045574
16384,45,0.003,3e-05,40.0,192.0,0.16128100367750198,0.4837355529785156,0.2307476033528646
16384,45,0.003,0.0001,40.0,192.0,0.16128304840841684,0.4837375040690104,0.23074634704589844
